"Tiger","Woods","USA","1","1","golf","2011","0"
"Kobe","Bryant","USA","2","3","basketball","2011","0"
"LeBron","James","USA","3","7","basketball","2011","0"
"Roger","Federer","Switzerland","4","6","tennis","2011","0"
"Phil","Mickelson","USA","5","4","golf","2011","46"
"David","Beckham","UK","6","5","soccer","2011","0"
"Cristiano","Ronaldo","Portugal","7","13","soccer","2011","0"
"Alex","Rodriguez","Dominican","8","12","baseball","2011","0"
"Michael","Schumacher","Germany","9","20","F1 racing","2011","0"
"Lionel","Messi","Argentina","10","20","soccer","2011","32"
"Floyd","Mayweather","USA","1","9","Boxing","2012","0"
"Manny","Pacquiao","Filipino","2","24","Boxing","2012","0"
"Tiger","Woods","USA","3","1","Golf","2012","59"
"LeBron","James","USA","4","3","Basketball","2012","0"
"Roger","Federer","Switzerland","5","4","Tennis","2012","52"
"Kobe","Bryant","USA","6","2","Basketball","2012","52"
"Phil","Mickelson","USA","7","5","Golf","2012","47"
"David","Beckham","UK","8","6","Soccer","2012","0"
"Cristiano","Ronaldo","Portugal","9","21","Soccer","2012","42"
"Peyton","Manning","USA","10","7","American Football","2012","42"
"Tiger","Woods","USA","1","3","Golf","2013","78"
"Roger","Federer","Switzerland","2","5","Tennis","2013","71"
"Kobe","Bryant","USA","3","6","Basketball","2013","61"
"LeBron","James","USA","4","4","Basketball","2013","59"
"Drew","Brees","USA","5","9","American Football","2013","0"
"Aaron","Rodgers","USA","6","9","American Football","2013","0"
"Phil","Mickelson","USA","7","7","Golf","2013","48"
"David","Beckham","UK","8","8","Soccer","2013","47"
"Cristiano","Ronaldo","Portugal","9","9","Soccer","2013","0"
"Lionel","Messi","Argentina","10","11","Soccer","2013","41"
"Floyd","Mayweather","USA","1","14","Boxing","2014","0"
"Cristiano","Ronaldo","Portugal","2","9","Soccer","2014","0"
"LeBron","James","USA","3","4","Basketball","2014","72"
"Lionel","Messi","Argentina","4","10","Soccer","2014","64"
"Kobe","Bryant","USA","5","3","Basketball","2014","61"
"Tiger","Woods","USA","6","1","Golf","2014","61"
"Roger","Federer","Switzerland","7","2","Tennis","2014","56"
"Phil","Mickelson","USA","8","7","Golf","2014","53"
"Rafael","Nadal","Spain","9","14","Tennis","2014","44"
"Matt","Ryan","USA","10","100","American Football","2014","43"
"Floyd","Mayweather","USA","1","1","Boxing","2015","0"
"Manny","Pacquiao","Philippines","2","11","Boxing","2015","0"
"Cristiano","Ronaldo","Portugal","3","2","Soccer","2015","79"
"Lionel","Messi","Argentina","4","4","Soccer","2015","73"
"Roger","Federer","Switzerland","5","7","Tennis","2015","0"
"LeBron","James","USA","6","3","Basketball","2015","64"
"Kevin","Durant","USA","7","20","Basketball","2015","54"
"Phil","Mickelson","USA","8","8","Golf","2015","50"
"Tiger","Woods","USA","9","6","Golf","2015","50"
"Kobe","Bryant","USA","10","5","Basketball","2015","49"
"Cristiano","Ronaldo","Portugal","1","3","Soccer","2016","0"
"Lionel","Messi","Argentina","2","4","Soccer","2016","81"
"LeBron","James","USA","3","6","Basketball","2016","77"
"Roger","Federer","Switzerland","4","5","Tennis","2016","67"
"Kevin","Durant","USA","5","7","Basketball","2016","56"
"Novak","Djokovic","Serbia","6","13","Tennis","2016","55"
"Cam","Newton","USA","7","20","American Football","2016","53"
"Phil","Mickelson","USA","8","8","Golf","2016","52"
"Jordan","Spieth","USA","9","20","Golf","2016","52"
"Kobe","Bryant","USA","10","10","Basketball","2016","0"
"Cristiano","Ronaldo","Portugal","1","1","Soccer","2017","0"
"LeBron","James","USA","2","3","Basketball","2017","86"
"Lionel","Messi","Argentina","3","2","Soccer","2017","0"
